id,verse_id,recording_id,start,end
0,40001001,JH,3.715,10.840
1,40001002,JH,10.840,24.000
2,40001003,JH,24.000,37.387
3,40001004,JH,37.387,49.905
4,40001005,JH,49.905,64.020
5,40001006,JH,64.020,75.830
6,40001007,JH,75.830,87.860
7,40001008,JH,87.860,99.640
8,40001009,JH,99.640,112.270
9,40001010,JH,112.270,124.420
10,40001011,JH,124.420,135.453
11,40001012,JH,135.453,147.840
12,40001013,JH,147.840,159.377
13,40001014,JH,159.377,170.990
14,40001015,JH,170.990,182.270
15,40001016,JH,182.270,195.370
16,40001017,JH,195.370,218.941
17,40001018,JH,218.941,241.050
18,40001019,JH,241.050,254.310
19,40001020,JH,254.310,278.760
20,40001021,JH,278.760,292.980
21,40001022,JH,292.980,302.033
22,40001023,JH,302.033,318.530
23,40001024,JH,318.530,330.540
24,40001025,JH,330.540,339.869
0,40002001,JH,3.935,18.000
1,40002002,JH,18.000,32.990
2,40002003,JH,32.990,41.110
3,40002004,JH,41.110,53.090
4,40002005,JH,53.090,61.510
5,40002006,JH,61.510,80.060
6,40002007,JH,80.060,90.203
7,40002008,JH,90.203,108.240
8,40002009,JH,108.240,124.580
9,40002010,JH,124.580,130.440
10,40002011,JH,130.440,153.560
11,40002012,JH,153.560,164.449
12,40002013,JH,164.449,190.030
13,40002014,JH,190.030,200.670
14,40002015,JH,200.670,215.790
15,40002016,JH,215.790,241.250
16,40002017,JH,241.250,247.960
17,40002018,JH,247.960,265.490
18,40002019,JH,265.490,274.340
19,40002020,JH,274.340,289.780
20,40002021,JH,289.780,298.010
21,40002022,JH,298.010,315.820
22,40002023,JH,315.820,330.352
0,40003001,JH,3.856,13.390
1,40003002,JH,13.390,21.310
2,40003003,JH,21.310,39.700
3,40003004,JH,39.700,56.990
4,40003005,JH,56.990,66.390
5,40003006,JH,66.390,76.110
6,40003007,JH,76.110,95.270
7,40003008,JH,95.270,100.570
8,40003009,JH,100.570,116.200
9,40003010,JH,116.200,130.173
10,40003011,JH,130.173,152.650
11,40003012,JH,152.650,170.350
12,40003013,JH,170.350,182.490
13,40003014,JH,182.490,193.390
14,40003015,JH,193.390,208.340
15,40003016,JH,208.340,227.620
16,40003017,JH,227.620,238.282
0,40004001,JH,3.660,13.750
1,40004002,JH,13.750,21.832
2,40004003,JH,21.832,35.410
3,40004004,JH,35.410,50.130
4,40004005,JH,50.130,61.502
5,40004006,JH,61.502,85.440
6,40004007,JH,85.440,93.350
7,40004008,JH,93.350,108.330
8,40004009,JH,108.330,119.520
9,40004010,JH,119.520,133.150
10,40004011,JH,133.150,142.430
11,40004012,JH,142.430,149.590
12,40004013,JH,149.590,161.618
13,40004014,JH,161.618,167.550
14,40004015,JH,167.550,178.020
15,40004016,JH,178.020,192.430
16,40004017,JH,192.430,203.810
17,40004018,JH,203.810,223.501
18,40004019,JH,223.501,231.680
19,40004020,JH,231.680,237.390
20,40004021,JH,237.390,255.250
21,40004022,JH,255.250,263.070
22,40004023,JH,263.070,280.820
23,40004024,JH,280.820,302.810
24,40004025,JH,302.810,315.162
0,40005001,JH,3.530,14.400
1,40005002,JH,14.400,20.530
2,40005003,JH,20.530,29.830
3,40005004,JH,29.845,36.310
4,40005005,JH,36.310,43.130
5,40005006,JH,43.130,52.430
6,40005007,JH,52.430,58.770
7,40005008,JH,58.770,66.610
8,40005009,JH,66.610,74.530
9,40005010,JH,74.530,84.540
10,40005011,JH,84.540,97.280
11,40005012,JH,97.280,112.380
12,40005013,JH,112.380,131.281
13,40005014,JH,131.281,140.500
14,40005015,JH,140.500,152.740
15,40005016,JH,152.740,168.910
16,40005017,JH,168.910,180.450
17,40005018,JH,180.450,197.930
18,40005019,JH,197.930,224.090
19,40005020,JH,224.090,240.800
20,40005021,JH,240.800,252.270
21,40005022,JH,252.270,278.530
22,40005023,JH,278.530,290.730
23,40005024,JH,290.730,305.400
24,40005025,JH,305.400,325.500
25,40005026,JH,325.500,335.050
26,40005027,JH,335.050,340.400
27,40005028,JH,340.400,355.670
28,40005029,JH,355.670,376.050
29,40005030,JH,376.050,395.220
30,40005031,JH,395.220,403.970
31,40005032,JH,403.970,423.270
32,40005033,JH,423.270,434.610
33,40005034,JH,434.610,444.130
34,40005035,JH,444.130,456.360
35,40005036,JH,456.360,465.890
36,40005037,JH,465.890,475.890
37,40005038,JH,475.890,483.780
38,40005039,JH,483.780,498.210
39,40005040,JH,498.210,507.170
40,40005041,JH,507.170,513.910
41,40005042,JH,513.910,522.870
42,40005043,JH,522.870,531.880
43,40005044,JH,531.880,542.450
44,40005045,JH,542.450,559.170
45,40005046,JH,559.170,570.760
46,40005047,JH,570.760,582.740
47,40005048,JH,582.740,591.167
0,40006001,JH,4.346,22.720
1,40006002,JH,22.720,45.590
2,40006003,JH,45.590,54.447
3,40006004,JH,54.447,65.980
4,40006005,JH,65.980,89.020
5,40006006,JH,89.020,108.470
6,40006007,JH,108.470,121.490
7,40006008,JH,121.490,133.430
8,40006009,JH,133.430,144.400
9,40006010,JH,144.400,154.570
10,40006011,JH,154.570,160.220
11,40006012,JH,160.220,168.953
12,40006013,JH,168.953,177.430
13,40006014,JH,177.430,187.290
14,40006015,JH,187.290,199.160
15,40006016,JH,199.160,219.490
16,40006017,JH,219.490,227.260
17,40006018,JH,227.260,242.040
18,40006019,JH,242.040,255.974
19,40006020,JH,255.974,270.650
20,40006021,JH,270.650,278.980
21,40006022,JH,278.980,292.680
22,40006023,JH,292.680,308.560
23,40006024,JH,308.560,329.758
24,40006025,JH,329.758,350.860
25,40006026,JH,350.860,371.460
26,40006027,JH,371.460,380.450
27,40006028,JH,380.450,393.030
28,40006029,JH,393.030,403.060
29,40006030,JH,403.060,418.160
30,40006031,JH,418.160,426.830
31,40006032,JH,426.830,438.940
32,40006033,JH,438.940,449.140
33,40006034,JH,449.140,461.536
0,40007001,JH,4.008,8.190
1,40007002,JH,8.190,18.670
2,40007003,JH,18.670,30.370
3,40007004,JH,30.370,41.590
4,40007005,JH,41.590,54.820
5,40007006,JH,54.820,74.280
6,40007007,JH,74.280,84.710
7,40007008,JH,84.710,93.676
8,40007009,JH,93.676,104.360
9,40007010,JH,104.360,110.040
10,40007011,JH,110.040,128.450
11,40007012,JH,128.450,144.770
12,40007013,JH,144.770,162.250
13,40007014,JH,162.250,175.510
14,40007015,JH,175.510,190.630
15,40007016,JH,190.630,204.710
16,40007017,JH,204.710,215.160
17,40007018,JH,215.160,225.150
18,40007019,JH,225.150,232.810
19,40007020,JH,232.810,239.800
20,40007021,JH,239.800,254.810
21,40007022,JH,254.810,272.620
22,40007023,JH,272.620,284.330
23,40007024,JH,284.330,299.658
24,40007025,JH,299.658,317.340
25,40007026,JH,317.340,333.130
26,40007027,JH,333.130,350.420
27,40007028,JH,350.420,360.887
28,40007029,JH,360.887,368.703
0,40008001,JH,3.753,11.130
1,40008002,JH,11.130,21.522
2,40008003,JH,21.522,34.110
3,40008004,JH,34.110,52.516
4,40008005,JH,52.516,59.770
5,40008006,JH,59.770,70.020
6,40008007,JH,70.020,75.180
7,40008008,JH,75.180,90.420
8,40008009,JH,90.420,108.880
9,40008010,JH,108.881,122.338
10,40008011,JH,122.338,138.660
