id,verse_id,recording_id,start,end
0,40001001,TK,0.000,6.218
1,40001002,TK,6.218,16.960
2,40001003,TK,16.962,28.220
3,40001004,TK,28.222,37.070
4,40001005,TK,37.085,47.530
5,40001006,TK,47.533,56.282
6,40001007,TK,56.282,66.170
7,40001008,TK,66.170,75.020
8,40001009,TK,75.020,83.387
9,40001010,TK,83.387,92.130
10,40001011,TK,92.130,99.600
11,40001012,TK,99.600,108.240
12,40001013,TK,108.240,116.820
13,40001014,TK,116.820,124.700
14,40001015,TK,124.700,133.460
15,40001016,TK,133.460,141.730
16,40001017,TK,141.730,157.618
17,40001018,TK,157.618,171.500
18,40001019,TK,171.500,181.340
19,40001020,TK,181.340,197.840
20,40001021,TK,197.840,207.270
21,40001022,TK,207.270,213.619
22,40001023,TK,213.619,226.340
23,40001024,TK,226.340,235.690
24,40001025,TK,235.690,244.440
0,40002001,TK,0.666,9.760
1,40002002,TK,9.760,20.410
2,40002003,TK,20.410,26.470
3,40002004,TK,26.470,34.443
4,40002005,TK,34.443,41.430
5,40002006,TK,41.430,54.484
6,40002007,TK,54.484,62.190
7,40002008,TK,62.190,77.050
8,40002009,TK,77.050,91.290
9,40002010,TK,91.290,96.350
10,40002011,TK,96.350,113.800
11,40002012,TK,113.800,121.977
12,40002013,TK,121.977,143.260
13,40002014,TK,143.260,150.300
14,40002015,TK,150.300,160.353
15,40002016,TK,160.353,179.470
16,40002017,TK,179.470,183.850
17,40002018,TK,183.850,195.890
18,40002019,TK,195.890,203.150
19,40002020,TK,203.150,212.980
20,40002021,TK,212.980,218.840
21,40002022,TK,218.840,231.860
22,40002023,TK,231.860,241.170
0,40003001,TK,0.250,6.965
1,40003002,TK,6.965,12.480
2,40003003,TK,12.480,23.550
3,40003004,TK,23.550,35.700
4,40003005,TK,35.700,43.530
5,40003006,TK,43.530,49.639
6,40003007,TK,49.639,62.830
7,40003008,TK,62.830,66.130
8,40003009,TK,66.130,77.177
9,40003010,TK,77.177,87.300
10,40003011,TK,87.300,103.250
11,40003012,TK,103.250,115.680
12,40003013,TK,115.680,122.342
13,40003014,TK,122.342,131.160
14,40003015,TK,131.160,142.850
